CNPJ,NOME FANTASIA,SITUAÃÃO CADASTRAL,CNAE 1,CNAE 2,UF,Municipio
17788136,,8,9602502,9602501,RS,8841
4331890,,8,8640299,"8640204,8640205,8640206,8640207,8630504",RS,8841
17799790,,8,3329501,,RS,8841
17802305,CUSCO PARCEIRO,8,9609208,"4789004,0159802,8011102",RS,8841
17807895,,8,7319003,8230001,RS,8841
17807968,,8,1412601,"4755503,9529199,1412602,4781400,4789099,4713002,4785799,4782201",RS,8841
17809412,ESPACO MULHER ANA CARLA,2,9602501,9602502,RS,8841
17819805,,2,9602501,,RS,8841
17822863,,2,8112500,,RS,8841
17830549,,4,4744001,"4744002,4744003,4744099,4679601,4930202",RS,8841
17835814,,8,8011101,4759899,RS,8841
17840324,MJ PRESTACOES DE SERVICOS,4,3329501,,RS,8841
17842852,FB REFORMAS E CONSTRUCOES,2,4321500,"4322301,4120400,4330402",RS,8841
17847134,,2,4781400,"4755503,4755502,4789001,4772500",RS,8841
11472103,CARHOUSE HYUNDAI,2,4511101,"4511102,4530703,4530705,4520001,4520002,4520003,4520005,5611204,5229002,4930202,8299799,4511103,7490104",RS,8841
17854899,,8,5612100,,RS,8841
17860853,CENTRAL MANICURE BAIANA,4,9602502,,RS,8841
17887391,MC FILMS,2,4330405,4520007,RS,8841
17894192,,2,7719599,"4930201,4930202,6821801,7112000,8599604",RS,8841
17905355,IVONI FONTOURA,8,9602502,,RS,8841
17907120,VALMOR ALTISSIMO,2,1822901,8219901,RS,8841
17908709,,2,4771701,4772500,RS,8841
17923668,CRIS KOPPER - EMPREENDEDORISMO,8,7319003,,RS,8841
17924933,CICA,8,9609208,,RS,8841
17930202,,8,9602502,,RS,8841
13142101,NATHY PAES,8,4721102,"5611203,4712100",RS,8841
17941746,ARLETE MASSOTERAPEUTA,2,9602502,"4755502,9602501,4781400",RS,8841
17946339,,8,4399103,"4330405,4330404,4322301,4321500",RS,8841
17954578,,4,9602502,"4781400,4772500",RS,8841
17956092,PAULO PRESTACAO DE SERVICO,8,4321500,"4322302,4322301",RS,8841
17958005,CORREA E FERNANDES,8,159802,"4789001,8230001,4789004,3299099",RS,8841
17959690,,4,5611203,4723700,RS,8841
17964011,,8,5612100,,RS,8841
